Year;Month;Day;Hour;Minute;Temperature;GHI;DNI
2019;1;1;0;30;1.0;0.0;0.0
2019;1;1;1;30;6.800000000000001;0.0;0.0
2019;1;1;2;30;7.0;0.0;0.0
2019;1;1;3;30;6.9;0.0;0.0
2019;1;1;4;30;6.5;0.0;0.0
2019;1;1;5;30;6.2;0.0;0.0
2019;1;1;6;30;6.2;0.0;0.0
2019;1;1;7;30;6.4;0.0;0.0
2019;1;1;8;30;6.5;12.0;75.0
2019;1;1;9;30;6.7;6.0;0.0
2019;1;1;10;30;7.0;11.0;0.0
2019;1;1;11;30;7.1000000000000005;200.0;470.0
2019;1;1;12;30;7.0;15.0;0.0
2019;1;1;13;30;6.9;174.0;437.0
2019;1;1;14;30;6.300000000000001;8.0;0.0
2019;1;1;15;30;5.6000000000000005;29.0;59.0
2019;1;1;16;30;4.9;0.0;0.0
2019;1;1;17;30;4.3;0.0;0.0
2019;1;1;18;30;3.9;0.0;0.0
2019;1;1;19;30;3.5;0.0;0.0
2019;1;1;20;30;3.3000000000000003;0.0;0.0
2019;1;1;21;30;3.1;0.0;0.0
2019;1;1;22;30;3.1;0.0;0.0
2019;1;1;23;30;3.4000000000000004;0.0;0.0
2019;1;2;0;30;3.6;0.0;0.0
2019;1;2;1;30;3.3000000000000003;0.0;0.0
2019;1;2;2;30;2.8000000000000003;0.0;0.0
2019;1;2;3;30;2.3000000000000003;0.0;0.0
2019;1;2;4;30;2.2;0.0;0.0
2019;1;2;5;30;2.2;0.0;0.0
2019;1;2;6;30;2.1;0.0;0.0
2019;1;2;7;30;1.9;0.0;0.0
2019;1;2;8;30;2.0;1.0;0.0
2019;1;2;9;30;2.4000000000000004;7.0;0.0
2019;1;2;10;30;3.0;12.0;0.0
2019;1;2;11;30;3.3000000000000003;15.0;0.0
2019;1;2;12;30;3.1;16.0;0.0
2019;1;2;13;30;2.5;199.0;647.0
2019;1;2;14;30;1.5;9.0;0.0
2019;1;2;15;30;0.2;3.0;0.0
2019;1;2;16;30;-0.7000000000000001;0.0;0.0
2019;1;2;17;30;-1.2000000000000002;0.0;0.0
2019;1;2;18;30;-1.6;0.0;0.0
2019;1;2;19;30;-2.2;0.0;0.0
2019;1;2;20;30;-2.8000000000000003;0.0;0.0
2019;1;2;21;30;-3.1;0.0;0.0
