Year,Month,Day,Hour,Minute,Temperature,GHI,DNI
2019,1,1,0,0,23.8,0,0
2019,1,1,1,0,23.7,0,0
2019,1,1,2,0,23.5,0,0
2019,1,1,3,0,23.2,0,0
2019,1,1,4,0,23,0,0
2019,1,1,5,0,22.9,0,0
2019,1,1,6,0,23.1,0,0
2019,1,1,7,0,25.2,102,333
2019,1,1,8,0,27.7,330,659
2019,1,1,9,0,29.8,553,800
2019,1,1,10,0,31.7,736,880
2019,1,1,11,0,33.3,855,915
2019,1,1,12,0,34.6,902,926
2019,1,1,13,0,35.2,871,909
2019,1,1,14,0,35.3,767,878
2019,1,1,15,0,34.5,599,815
2019,1,1,16,0,33.5,383,692
2019,1,1,17,0,30.3,151,435
2019,1,1,18,0,28,0,0
2019,1,1,19,0,26.6,0,0
2019,1,1,20,0,25.7,0,0
2019,1,1,21,0,25.1,0,0
2019,1,1,22,0,24.5,0,0
2019,1,1,23,0,24.2,0,0
2019,1,2,0,0,24,0,0
2019,1,2,1,0,23.9,0,0
2019,1,2,2,0,23.7,0,0
2019,1,2,3,0,23.5,0,0
2019,1,2,4,0,23.1,0,0
2019,1,2,5,0,22.8,0,0
2019,1,2,6,0,22.9,0,0
2019,1,2,7,0,25.1,101,347
2019,1,2,8,0,27.7,330,659
2019,1,2,9,0,29.8,552,795
2019,1,2,10,0,31.7,731,851
2019,1,2,11,0,33.4,849,883
2019,1,2,12,0,34.8,895,893
2019,1,2,13,0,35.5,868,891
2019,1,2,14,0,35.4,766,861
2019,1,2,15,0,34.6,599,799
2019,1,2,16,0,33.3,384,677
2019,1,2,17,0,29.8,153,421
2019,1,2,18,0,27.5,0,0
2019,1,2,19,0,26.6,0,0
2019,1,2,20,0,25.9,0,0
2019,1,2,21,0,25.4,0,0
2019,1,2,22,0,25,0,0
2019,1,2,23,0,24.5,0,0
2019,1,3,0,0,24.2,0,0
2019,1,3,1,0,24,0,0
2019,1,3,2,0,23.8,0,0
2019,1,3,3,0,23.7,0,0
2019,1,3,4,0,23.7,0,0
2019,1,3,5,0,23.5,0,0
2019,1,3,6,0,23.8,0,0
2019,1,3,7,0,25.9,96,277
2019,1,3,8,0,28.4,321,616
2019,1,3,9,0,30.5,543,766
2019,1,3,10,0,32.5,724,847
2019,1,3,11,0,34.2,844,886
2019,1,3,12,0,35.5,893,902
2019,1,3,13,0,36.1,860,872
2019,1,3,14,0,35.9,759,842
2019,1,3,15,0,35,298,22
2019,1,3,16,0,33.3,379,642
2019,1,3,17,0,29.9,150,378
2019,1,3,18,0,27.9,0,0
2019,1,3,19,0,26.9,0,0
2019,1,3,20,0,26.1,0,0
2019,1,3,21,0,25.6,0,0
2019,1,3,22,0,25.1,0,0
2019,1,3,23,0,24.6,0,0
2019,1,4,0,0,24.2,0,0
2019,1,4,1,0,24,0,0
2019,1,4,2,0,24,0,0
2019,1,4,3,0,23.8,0,0
2019,1,4,4,0,23.6,0,0
2019,1,4,5,0,23.3,0,0
2019,1,4,6,0,23.7,0,0
2019,1,4,7,0,25.7,93,258
2019,1,4,8,0,28.4,317,599
2019,1,4,9,0,30.9,539,755
2019,1,4,10,0,33,713,802
2019,1,4,11,0,34.5,836,851
2019,1,4,12,0,35.6,886,873
2019,1,4,13,0,36.1,858,863
2019,1,4,14,0,36,759,836
2019,1,4,15,0,35.4,595,776
2019,1,4,16,0,34.2,383,657
2019,1,4,17,0,30.6,154,403
2019,1,4,18,0,28.4,0,0
2019,1,4,19,0,27.3,0,0
2019,1,4,20,0,26.5,0,0
2019,1,4,21,0,26.1,0,0
2019,1,4,22,0,25.7,0,0
2019,1,4,23,0,25.2,0,0
2019,1,5,0,0,24.8,0,0
2019,1,5,1,0,24.5,0,0
2019,1,5,2,0,24.3,0,0
2019,1,5,3,0,24.1,0,0
2019,1,5,4,0,24,0,0
2019,1,5,5,0,23.9,0,0
2019,1,5,6,0,24.4,0,0
2019,1,5,7,0,26.4,87,177
2019,1,5,8,0,28.7,307,517
2019,1,5,9,0,30.9,527,689
2019,1,5,10,0,32.8,452,89
2019,1,5,11,0,34.2,832,832
2019,1,5,12,0,35.2,621,161
2019,1,5,13,0,35.5,854,839
2019,1,5,14,0,35.2,494,105
2019,1,5,15,0,34.1,333,44
2019,1,5,16,0,32.4,374,574
2019,1,5,17,0,29.1,148,297
2019,1,5,18,0,27.4,0,0
2019,1,5,19,0,26.6,0,0
2019,1,5,20,0,26.1,0,0
2019,1,5,21,0,25.8,0,0
2019,1,5,22,0,25.5,0,0
2019,1,5,23,0,25.3,0,0
2019,1,6,0,0,25.1,0,0
2019,1,6,1,0,24.8,0,0
2019,1,6,2,0,24.7,0,0
2019,1,6,3,0,24.5,0,0
2019,1,6,4,0,24.4,0,0
2019,1,6,5,0,24.2,0,0
2019,1,6,6,0,24.4,0,0
2019,1,6,7,0,26,81,115
2019,1,6,8,0,28.3,189,12
2019,1,6,9,0,30.3,509,585
2019,1,6,10,0,32.3,699,742
2019,1,6,11,0,33.6,822,799
2019,1,6,12,0,34.4,227,0
2019,1,6,13,0,34.7,400,15
2019,1,6,14,0,34.1,518,123
2019,1,6,15,0,32.9,584,701
2019,1,6,16,0,31.3,269,56
2019,1,6,17,0,28.8,125,27
2019,1,6,18,0,27.3,0,0
2019,1,6,19,0,26.5,0,0
2019,1,6,20,0,26,0,0
2019,1,6,21,0,25.7,0,0
2019,1,6,22,0,25.4,0,0
2019,1,6,23,0,25.1,0,0
2019,1,7,0,0,24.8,0,0
2019,1,7,1,0,24.6,0,0
2019,1,7,2,0,24.5,0,0
2019,1,7,3,0,24.4,0,0
2019,1,7,4,0,24.3,0,0
2019,1,7,5,0,24.2,0,0
2019,1,7,6,0,24.4,0,0
2019,1,7,7,0,25.8,78,103
2019,1,7,8,0,28,289,392
2019,1,7,9,0,29.3,505,566
2019,1,7,10,0,31,619,394
2019,1,7,11,0,32.4,391,39
2019,1,7,12,0,33.1,846,691
2019,1,7,13,0,33.3,822,691
2019,1,7,14,0,32.8,488,143
2019,1,7,15,0,31.7,384,107
2019,1,7,16,0,30.2,288,113
2019,1,7,17,0,28.1,119,18
2019,1,7,18,0,26.9,0,0
2019,1,7,19,0,26.4,0,0
2019,1,7,20,0,25.9,0,0
2019,1,7,21,0,25.6,0,0
2019,1,7,22,0,25.4,0,0
2019,1,7,23,0,25.1,0,0
2019,1,8,0,0,24.9,0,0
2019,1,8,1,0,24.8,0,0
2019,1,8,2,0,24.6,0,0
2019,1,8,3,0,24.5,0,0
2019,1,8,4,0,24.3,0,0
2019,1,8,5,0,24.1,0,0
2019,1,8,6,0,24.3,0,0
2019,1,8,7,0,25.7,75,77
2019,1,8,8,0,27.1,285,350
2019,1,8,9,0,28.8,499,528
2019,1,8,10,0,30.6,684,665
2019,1,8,11,0,32.1,431,35
2019,1,8,12,0,33,864,773
2019,1,8,13,0,33.1,840,770
2019,1,8,14,0,32.6,743,735
2019,1,8,15,0,31.4,286,13
2019,1,8,16,0,29.8,371,513
2019,1,8,17,0,27.7,149,253
2019,1,8,18,0,26.4,0,0
2019,1,8,19,0,25.7,0,0
2019,1,8,20,0,25.4,0,0
2019,1,8,21,0,25.1,0,0
2019,1,8,22,0,24.8,0,0
2019,1,8,23,0,24.5,0,0
2019,1,9,0,0,24.2,0,0
2019,1,9,1,0,23.9,0,0
2019,1,9,2,0,23.7,0,0
2019,1,9,3,0,23.5,0,0
2019,1,9,4,0,23.4,0,0
2019,1,9,5,0,23.3,0,0
2019,1,9,6,0,23.6,0,0
2019,1,9,7,0,25,82,155
2019,1,9,8,0,26.9,296,468
2019,1,9,9,0,28.9,403,138
2019,1,9,10,0,30.6,356,46
2019,1,9,11,0,31.7,296,9
2019,1,9,12,0,32,637,157
2019,1,9,13,0,31.8,461,45
2019,1,9,14,0,31.3,604,327
2019,1,9,15,0,30.1,329,61
2019,1,9,16,0,28.7,303,101
2019,1,9,17,0,27,111,6
2019,1,9,18,0,25.8,0,0
2019,1,9,19,0,25.1,0,0
2019,1,9,20,0,24.6,0,0
2019,1,9,21,0,24.3,0,0
2019,1,9,22,0,24,0,0
2019,1,9,23,0,23.7,0,0
2019,1,10,0,0,23.5,0,0
2019,1,10,1,0,23.4,0,0
2019,1,10,2,0,23.2,0,0
2019,1,10,3,0,23.1,0,0
2019,1,10,4,0,23,0,0
2019,1,10,5,0,22.8,0,0
2019,1,10,6,0,23.2,0,0
2019,1,10,7,0,24.9,87,239
2019,1,10,8,0,26.6,83,0
2019,1,10,9,0,28.4,535,741
2019,1,10,10,0,30,294,3
2019,1,10,11,0,31,844,864
2019,1,10,12,0,31.7,897,882
2019,1,10,13,0,31.8,842,616
2019,1,10,14,0,31.4,416,51
2019,1,10,15,0,30.5,610,775
2019,1,10,16,0,28.6,398,663
2019,1,10,17,0,26.2,168,426
2019,1,10,18,0,24.6,0,0
2019,1,10,19,0,23.9,0,0
2019,1,10,20,0,23.5,0,0
2019,1,10,21,0,23.2,0,0
2019,1,10,22,0,22.8,0,0
2019,1,10,23,0,22.5,0,0
2019,1,11,0,0,22.2,0,0
2019,1,11,1,0,22,0,0
2019,1,11,2,0,21.8,0,0
2019,1,11,3,0,21.7,0,0
2019,1,11,4,0,21.6,0,0
2019,1,11,5,0,21.6,0,0
2019,1,11,6,0,22,0,0
2019,1,11,7,0,23.8,92,321
2019,1,11,8,0,25.8,319,644
2019,1,11,9,0,27.9,544,784
2019,1,11,10,0,29.8,720,818
2019,1,11,11,0,31.2,845,859
2019,1,11,12,0,32.2,899,878
2019,1,11,13,0,32.6,879,884
2019,1,11,14,0,32.3,780,856
2019,1,11,15,0,31.5,617,799
2019,1,11,16,0,29.9,405,687
2019,1,11,17,0,27.2,172,452
2019,1,11,18,0,25.4,0,0
2019,1,11,19,0,24.6,0,0
2019,1,11,20,0,24.2,0,0
2019,1,11,21,0,23.7,0,0
2019,1,11,22,0,23.4,0,0
2019,1,11,23,0,23.1,0,0
2019,1,12,0,0,22.9,0,0
2019,1,12,1,0,22.6,0,0
2019,1,12,2,0,22.4,0,0
2019,1,12,3,0,22.3,0,0
2019,1,12,4,0,22.3,0,0
2019,1,12,5,0,22.5,0,0
2019,1,12,6,0,22.8,0,0
2019,1,12,7,0,24.8,84,213
2019,1,12,8,0,26.9,306,544
2019,1,12,9,0,29.1,528,695
2019,1,12,10,0,30.9,716,803
2019,1,12,11,0,32.2,843,852
2019,1,12,12,0,33,896,867
